"SpecName"	"LEVEL_3_CO"
"Cephalophus_leucogaster"	"GAB"
"Cephalophus_leucogaster"	"BUR"
"Cephalophus_leucogaster"	"CAB"
"Cephalophus_leucogaster"	"ANG"
"Cephalophus_natalensis"	"TAN"
"Cephalophus_natalensis"	"MOZ"
"Cephalophus_natalensis"	"MLW"
"Cephalophus_natalensis"	"TVL"
"Cephalophus_natalensis"	"SWZ"
"Cephalophus_natalensis"	"NAT"
"Cephalophus_niger"	"GUI"
"Cephalophus_niger"	"IVO"
"Cephalophus_niger"	"BKN"
"Cephalophus_niger"	"SIE"
"Cephalophus_niger"	"GHA"
"Cephalophus_niger"	"BEN"
"Cephalophus_niger"	"NGA"
"Cephalophus_niger"	"LBR"
"Cephalophus_nigrifrons"	"CAF"
"Cephalophus_nigrifrons"	"NGA"
"Cephalophus_nigrifrons"	"CMN"
"Cephalophus_nigrifrons"	"ZAI"
"Cephalophus_nigrifrons"	"CON"
"Cephalophus_nigrifrons"	"UGA"
"Cephalophus_nigrifrons"	"EQG"
"Cephalophus_nigrifrons"	"GAB"
"Cephalophus_nigrifrons"	"KEN"
"Cephalophus_nigrifrons"	"RWA"
"Cephalophus_nigrifrons"	"BUR"
"Cephalophus_nigrifrons"	"CAB"
"Cephalophus_nigrifrons"	"ANG"
"Cephalophus_nigrifrons"	"TAN"
"Cephalophus_ogilbyi"	"GUI"
"Cephalophus_ogilbyi"	"SIE"
"Cephalophus_ogilbyi"	"LBR"
"Cephalophus_ogilbyi"	"IVO"
"Cephalophus_ogilbyi"	"GHA"
"Cephalophus_ogilbyi"	"NGA"
"Cephalophus_ogilbyi"	"CMN"
"Cephalophus_ogilbyi"	"GGI"
"Cephalophus_ogilbyi"	"EQG"
"Cephalophus_ogilbyi"	"GAB"
"Cephalophus_ogilbyi"	"CON"
"Cephalophus_rufilatus"	"SEN"
"Cephalophus_rufilatus"	"MLI"
"Cephalophus_rufilatus"	"GAM"
"Cephalophus_rufilatus"	"GNB"
"Cephalophus_rufilatus"	"GUI"
"Cephalophus_rufilatus"	"BKN"
"Cephalophus_rufilatus"	"BEN"
"Cephalophus_rufilatus"	"NGA"
"Cephalophus_rufilatus"	"CMN"
"Cephalophus_rufilatus"	"IVO"
"Cephalophus_rufilatus"	"GHA"
"Cephalophus_rufilatus"	"CHA"
"Cephalophus_rufilatus"	"CAF"
"Cephalophus_rufilatus"	"SIE"
"Cephalophus_rufilatus"	"SUD"
"Cephalophus_rufilatus"	"ZAI"
"Cephalophus_rufilatus"	"UGA"
"Cephalophus_silvicultor"	"GAM"
"Cephalophus_silvicultor"	"GNB"
"Cephalophus_silvicultor"	"GUI"
"Cephalophus_silvicultor"	"IVO"
"Cephalophus_silvicultor"	"BKN"
"Cephalophus_silvicultor"	"GHA"
"Cephalophus_silvicultor"	"BEN"
"Cephalophus_silvicultor"	"SIE"
"Cephalophus_silvicultor"	"NGA"
"Cephalophus_silvicultor"	"CHA"
"Cephalophus_silvicultor"	"CAF"
"Cephalophus_silvicultor"	"CMN"
"Cephalophus_silvicultor"	"LBR"
"Cephalophus_silvicultor"	"SUD"
"Cephalophus_silvicultor"	"ZAI"
"Cephalophus_silvicultor"	"CON"
"Cephalophus_silvicultor"	"UGA"
"Cephalophus_silvicultor"	"EQG"
"Cephalophus_silvicultor"	"GAB"
"Cephalophus_silvicultor"	"KEN"
"Cephalophus_silvicultor"	"RWA"
"Cephalophus_silvicultor"	"BUR"
"Cephalophus_silvicultor"	"CAB"
"Cephalophus_silvicultor"	"ANG"
"Cephalophus_silvicultor"	"TAN"
"Cephalophus_silvicultor"	"ZAM"
"Cephalophus_silvicultor"	"MLW"
"Cephalophus_silvicultor"	"CPV"
"Cephalophus_weynsi"	"CAF"
"Cephalophus_weynsi"	"ZAI"
"Cephalophus_weynsi"	"SUD"
"Cephalophus_weynsi"	"KEN"
"Cephalophus_weynsi"	"CON"
"Cephalophus_weynsi"	"UGA"
"Cephalophus_weynsi"	"RWA"
"Cephalophus_weynsi"	"BUR"
"Cephalophus_weynsi"	"TAN"
"Cephalophus_zebra"	"GUI"
"Cephalophus_zebra"	"SIE"
"Cephalophus_zebra"	"LBR"
"Cephalophus_zebra"	"IVO"
"Hemitragus_jemlahicus"	"WHM"
"Hemitragus_jemlahicus"	"CHT"
"Hemitragus_jemlahicus"	"IND"
"Hemitragus_jemlahicus"	"NEP"
"Hemitragus_jemlahicus"	"EHM"
"Naemorhedus_caudatus"	"CHM"
"Naemorhedus_caudatus"	"PRM"
"Naemorhedus_caudatus"	"KOR"
"Naemorhedus_goral"	"AFG"
"Naemorhedus_goral"	"PAK"
"Naemorhedus_goral"	"WHM"
"Naemorhedus_goral"	"IND"
"Naemorhedus_goral"	"CHT"
"Naemorhedus_goral"	"NEP"
"Naemorhedus_goral"	"ASS"
"Naemorhedus_goral"	"EHM"
"Naemorhedus_griseus"	"CHI"
"Naemorhedus_griseus"	"CHN"
"Naemorhedus_griseus"	"CHC"
"Naemorhedus_griseus"	"CHS"
"Naemorhedus_griseus"	"CHT"
"Naemorhedus_griseus"	"ASS"
"Naemorhedus_griseus"	"EHM"
"Naemorhedus_griseus"	"MYA"
"Naemorhedus_griseus"	"BAN"
"Naemorhedus_griseus"	"LAO"
"Naemorhedus_griseus"	"THA"
"Neotragus_pygmaeus"	"GUI"
"Neotragus_pygmaeus"	"BKN"
"Neotragus_pygmaeus"	"SIE"
"Neotragus_pygmaeus"	"IVO"
"Neotragus_pygmaeus"	"LBR"
"Neotragus_pygmaeus"	"GHA"
"Nesotragus_moschatus"	"KEN"
"Nesotragus_moschatus"	"TAN"
"Nesotragus_moschatus"	"MLW"
"Nesotragus_moschatus"	"MOZ"
"Nesotragus_moschatus"	"ZAM"
"Nesotragus_moschatus"	"ZIM"
"Nesotragus_moschatus"	"TVL"
"Nesotragus_moschatus"	"NAT"
"Oryx_beisa"	"ERI"
"Oryx_beisa"	"ETH"
"Oryx_beisa"	"DJI"
"Oryx_beisa"	"SOM"
"Oryx_beisa"	"SUD"
"Oryx_beisa"	"KEN"
"Oryx_beisa"	"TAN"
"Oryx_gazella"	"ANG"
"Oryx_gazella"	"NAM"
"Oryx_gazella"	"BOT"
"Oryx_gazella"	"ZIM"
"Oryx_gazella"	"TVL"
"Oryx_gazella"	"CPP"
"Oryx_gazella"	"OFS"
"Oryx_gazella"	NA
"Oryx_leucoryx"	"PAL"
"Oryx_leucoryx"	"GST"
"Oryx_leucoryx"	"SAU"
"Oryx_leucoryx"	"OMA"
"Philantomba_maxwellii"	"SEN"
"Philantomba_maxwellii"	"GAM"
"Philantomba_maxwellii"	"GNB"
"Philantomba_maxwellii"	"GUI"
"Philantomba_maxwellii"	"IVO"
"Philantomba_maxwellii"	"BKN"
"Philantomba_maxwellii"	"SIE"
"Philantomba_maxwellii"	"GHA"
"Philantomba_maxwellii"	"LBR"
"Philantomba_monticola"	"CAF"
"Philantomba_monticola"	"NGA"
"Philantomba_monticola"	"CMN"
"Philantomba_monticola"	"SUD"
"Philantomba_monticola"	"ZAI"
"Philantomba_monticola"	"KEN"
"Philantomba_monticola"	"GGI"
"Philantomba_monticola"	"CON"
"Philantomba_monticola"	"UGA"
"Philantomba_monticola"	"EQG"
"Philantomba_monticola"	"GAB"
"Philantomba_monticola"	"RWA"
"Philantomba_monticola"	"TAN"
"Philantomba_monticola"	"BUR"
"Philantomba_monticola"	"CAB"
"Philantomba_monticola"	"ANG"
"Philantomba_monticola"	"ZAM"
"Philantomba_monticola"	"MLW"
"Philantomba_monticola"	"MOZ"
"Philantomba_monticola"	"CPV"
"Philantomba_monticola"	"NAT"
"Philantomba_monticola"	"LES"
"Philantomba_monticola"	"CPP"
"Raphicerus_campestris"	"KEN"
"Raphicerus_campestris"	"TAN"
"Raphicerus_campestris"	"MLW"
"Raphicerus_campestris"	"ANG"
"Raphicerus_campestris"	"ZAM"
"Raphicerus_campestris"	"CPV"
"Raphicerus_campestris"	"NAM"
"Raphicerus_campestris"	"BOT"
"Raphicerus_campestris"	"ZIM"
"Raphicerus_campestris"	"MOZ"
"Raphicerus_campestris"	"TVL"
"Raphicerus_campestris"	"CPP"
"Raphicerus_campestris"	"SWZ"
"Raphicerus_campestris"	"OFS"
"Raphicerus_campestris"	"NAT"
"Raphicerus_campestris"	NA
"Raphicerus_campestris"	"LES"
"Sylvicapra_grimmia"	"MTN"
"Sylvicapra_grimmia"	"SEN"
"Sylvicapra_grimmia"	"ERI"
"Sylvicapra_grimmia"	"MLI"
"Sylvicapra_grimmia"	"BKN"
"Sylvicapra_grimmia"	"NGA"
"Sylvicapra_grimmia"	"NGR"
"Sylvicapra_grimmia"	"CHA"
"Sylvicapra_grimmia"	"GAM"
"Sylvicapra_grimmia"	"SUD"
"Sylvicapra_grimmia"	"ETH"
"Sylvicapra_grimmia"	"GNB"
"Sylvicapra_grimmia"	"GUI"
"Sylvicapra_grimmia"	"BEN"
"Sylvicapra_grimmia"	"CMN"
"Sylvicapra_grimmia"	"CAF"
"Sylvicapra_grimmia"	"IVO"
"Sylvicapra_grimmia"	"GHA"
"Sylvicapra_grimmia"	"ZAI"
"Sylvicapra_grimmia"	"KEN"
"Sylvicapra_grimmia"	"SOM"
"Sylvicapra_grimmia"	"UGA"
"Sylvicapra_grimmia"	"CON"
"Sylvicapra_grimmia"	"GAB"
"Sylvicapra_grimmia"	"RWA"
"Sylvicapra_grimmia"	"TAN"
"Sylvicapra_grimmia"	"BUR"
"Sylvicapra_grimmia"	"CAB"
"Sylvicapra_grimmia"	"ANG"
"Sylvicapra_grimmia"	"ZAM"
"Sylvicapra_grimmia"	"MLW"
"Sylvicapra_grimmia"	"MOZ"
"Sylvicapra_grimmia"	"ZIM"
"Sylvicapra_grimmia"	"CPV"
"Sylvicapra_grimmia"	"NAM"
"Sylvicapra_grimmia"	"BOT"
"Sylvicapra_grimmia"	"TVL"
"Sylvicapra_grimmia"	"CPP"
"Sylvicapra_grimmia"	"SWZ"
"Sylvicapra_grimmia"	"OFS"
"Sylvicapra_grimmia"	"NAT"
"Sylvicapra_grimmia"	"LES"
"Tragelaphus_angasii"	"ZAM"
"Tragelaphus_angasii"	"MOZ"
"Tragelaphus_angasii"	"MLW"
"Tragelaphus_angasii"	"ZIM"
"Tragelaphus_angasii"	"BOT"
"Tragelaphus_angasii"	"TVL"
"Tragelaphus_angasii"	"NAT"
"Tragelaphus_derbianus"	"GAM"
"Tragelaphus_derbianus"	"MLI"
"Tragelaphus_derbianus"	"GNB"
"Tragelaphus_derbianus"	"GUI"
"Tragelaphus_derbianus"	"CHA"
"Tragelaphus_derbianus"	"CAF"
"Tragelaphus_derbianus"	"SUD"
"Tragelaphus_derbianus"	"CMN"
"Tragelaphus_oryx"	"SUD"
"Tragelaphus_oryx"	"ETH"
"Tragelaphus_oryx"	"KEN"
"Tragelaphus_oryx"	"UGA"
"Tragelaphus_oryx"	"RWA"
"Tragelaphus_oryx"	"TAN"
"Tragelaphus_oryx"	"BUR"
"Tragelaphus_oryx"	"ZAI"
"Tragelaphus_oryx"	"ANG"
"Tragelaphus_oryx"	"ZAM"
"Tragelaphus_oryx"	"MLW"
"Tragelaphus_oryx"	"MOZ"
"Tragelaphus_oryx"	"ZIM"
"Tragelaphus_oryx"	"CPV"
"Tragelaphus_oryx"	"NAM"
"Tragelaphus_oryx"	"BOT"
"Tragelaphus_oryx"	"TVL"
"Tragelaphus_oryx"	"CPP"
"Tragelaphus_oryx"	"SWZ"
"Tragelaphus_oryx"	"OFS"
"Tragelaphus_oryx"	"NAT"
"Tragelaphus_oryx"	"LES"
"Burramys_parvus"	"VIC"
"Burramys_parvus"	"NSW"
"Cercartetus_caudatus"	"NWG"
"Cercartetus_caudatus"	"BIS"
"Cercartetus_caudatus"	"QLD"
"Cercartetus_concinnus"	"WAU"
"Cercartetus_concinnus"	"SOA"
"Cercartetus_concinnus"	"NSW"
"Cercartetus_concinnus"	"VIC"
"Cercartetus_lepidus"	"SOA"
"Cercartetus_lepidus"	"VIC"
"Cercartetus_lepidus"	"NSW"
"Cercartetus_lepidus"	"TAS"
"Cercartetus_nanus"	"QLD"
"Cercartetus_nanus"	"NSW"
"Cercartetus_nanus"	"SOA"
"Cercartetus_nanus"	"VIC"
"Cercartetus_nanus"	"TAS"
"Caenolestes_caniventer"	"ECU"
"Caenolestes_caniventer"	"PER"
"Callimico_goeldii"	"CLM"
"Callimico_goeldii"	"ECU"
"Callimico_goeldii"	"PER"
"Callimico_goeldii"	"BZN"
"Callimico_goeldii"	"BOL"
"Callithrix_aurita"	"BZL"
"Callithrix_aurita"	NA
"Callithrix_flaviceps"	"BZL"
"Callithrix_geoffroyi"	"BZE"
"Callithrix_geoffroyi"	"BZL"
"Callithrix_geoffroyi"	NA
"Callithrix_jacchus"	"BZE"
"Callithrix_jacchus"	"BZC"
"Callithrix_kuhlii"	"BZE"
"Callithrix_penicillata"	"BZN"
"Callithrix_penicillata"	"BZE"
"Callithrix_penicillata"	"BZC"
"Callithrix_penicillata"	"BZL"
"Cebuella_pygmaea"	"CLM"
"Cebuella_pygmaea"	"ECU"
"Cebuella_pygmaea"	"BZN"
"Cebuella_pygmaea"	"PER"
"Cebuella_pygmaea"	"BOL"
"Leontopithecus_caissara"	"BZL"
"Leontopithecus_chrysomelas"	"BZE"
"Leontopithecus_chrysopygus"	"BZC"
"Leontopithecus_chrysopygus"	"BZL"
"Leontopithecus_rosalia"	"BZL"
"Mico_acariensis"	"BZN"
"Mico_acariensis"	"BZC"
"Mico_argentatus"	"BZN"
"Mico_chrysoleucos"	"BZN"
"Mico_emiliae"	"BZN"
"Mico_emiliae"	"BZC"
"Mico_humeralifer"	"BZN"
"Mico_intermedius"	"BZN"
"Mico_intermedius"	"BZC"
"Mico_leucippe"	"BZN"
"Mico_marcai"	"BZN"
"Mico_mauesi"	"BZN"
"Mico_mauesi"	"BZC"
"Mico_melanurus"	"BZN"
"Mico_melanurus"	"BZC"
"Mico_melanurus"	"BOL"
"Mico_melanurus"	"PAR"
"Mico_nigriceps"	"BZN"
"Mico_nigriceps"	"BZC"
"Mico_saterei"	"BZN"
"Mico_rondoni"	"BZN"
"Mico_rondoni"	"BZC"
"Mico_rondoni"	"BOL"
"Saguinus_bicolor"	"BZN"
"Saguinus_fuscicollis"	"CLM"
"Saguinus_fuscicollis"	"ECU"
"Saguinus_fuscicollis"	"BZN"
"Saguinus_fuscicollis"	"PER"
"Saguinus_fuscicollis"	"BOL"
"Saguinus_geoffroyi"	"PAN"
"Saguinus_geoffroyi"	"CLM"
"Saguinus_imperator"	"BZN"
"Saguinus_imperator"	"BOL"
"Saguinus_imperator"	"PER"
"Saguinus_inustus"	"CLM"
"Saguinus_inustus"	"BZN"
"Saguinus_labiatus"	"BZN"
"Saguinus_labiatus"	"BOL"
"Saguinus_leucopus"	"CLM"
"Saguinus_martinsi"	"BZN"
"Saguinus_melanoleucus"	"BZN"
"Saguinus_midas"	"GUY"
"Saguinus_midas"	"SUR"
"Saguinus_midas"	"FRG"
"Saguinus_midas"	"BZN"
"Saguinus_mystax"	"BZN"
"Saguinus_mystax"	"PER"
"Saguinus_niger"	"BZN"
"Saguinus_niger"	"BZE"
"Saguinus_niger"	"BZC"
"Saguinus_nigricollis"	"CLM"
"Saguinus_nigricollis"	"ECU"
"Saguinus_nigricollis"	"PER"
"Saguinus_nigricollis"	"BZN"
"Saguinus_oedipus"	"CLM"
"Saguinus_tripartitus"	"ECU"
"Saguinus_tripartitus"	"CLM"
"Saguinus_tripartitus"	"PER"
"Canis_aureus"	"AUT"
"Canis_aureus"	"HUN"
"Canis_aureus"	"UKR"
"Canis_aureus"	"YUG"
"Canis_aureus"	"ROM"
"Canis_aureus"	"BUL"
"Canis_aureus"	"NCS"
"Canis_aureus"	"ALB"
"Canis_aureus"	"TUR"
"Canis_aureus"	"TCS"
"Canis_aureus"	"TUE"
"Canis_aureus"	"GRC"
"Canis_aureus"	"EAI"
"Canis_aureus"	"IRN"
"Canis_aureus"	"ALG"
"Canis_aureus"	"TUN"
"Canis_aureus"	"SIC"
"Canis_aureus"	"LBS"
