LEVEL_3_CO	LEVEL_NAME	CONTINENT	FruitSize	Frugivore	BodySize	Soil	THREEREALM	REALM_LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	ensLGM_Pmean	ensLGM_Tmean	ensLGM_Pano	NPP_Mean
EQG	Equatorial Guinea	AFRICA	2.8375	1	49153.77019	48.77148	OWWest	Afrotropics	1010789.527	199990.807	2211.0601	57.3405	177.7561	232.2347833	221.1411	757.8147	177.4492	10155.1	2162.748	209.2617	49.7579	69153.77019
ERI	Eritrea	AFRICA	3.95	1	77215.06046	47.20499	OWWest	Afrotropics	3749294.395	1935430.219	354.3161	94.1755	19.8283	261.6556167	230.1741	2410.2207	158.0974	1888.06	295.7959	218.097	57.6219	157215.0605
ETH	Ethiopia	AFRICA	6.98	1	120118.189	38.1735	OWWest	Afrotropics	3822845.317	1092749.337	795.2946	92.4321	32.8184	227.1784083	211.7769	1252.647	133.5608	5566.99	755.6603	194.0853	39.6157	120118.189
GAB	Gabon	AFRICA	3.413461538	1	67105.25975	47.14952	OWWest	Afrotropics	1138269.165	-75292.49016	1853.7448	64.3638	58.1333	244.9649083	229.1587	1014.0851	180.9413	10765.4	1581.1606	222.8628	274.2082	67105.25975
GAM	"Gambia, The"	AFRICA	5.608333333	1	114377.8729	51.3375	OWWest	Afrotropics	-1484515.656	1700904.366	798.0483	136.865	0.0008	272.1166	246.7194	1853.0884	149.7875	1880.15	1055.5454	244.8664	-256.9008	114377.8729
GGI	Gulf of Guinea Is.	AFRICA	4.916666667	1	69626.93575	35.03385	OWEast	Afrotropics	769517.011	301930.9089	2435.9354	57.0881	140.9997	217.0715167	206.4531	732.3149	170.6724	13745.6	2422.1001	199.0319	23.1459	29626.93575
GHA	Ghana	AFRICA	5.122222222	1	62436.54888	51.85224	OWWest	Afrotropics	-116471.2668	1010982.69	1246.2762	69.1825	60.2673	269.3486333	252.5171	1307.3276	199.9388	6648.68	2083.0042	244.4784	-836.4733	62436.54888
GNB	Guinea-Bissau	AFRICA	6.675	1	124062.0464	47.08287	OWWest	Afrotropics	-1446104.068	1521918.431	1687.2327	127.1105	0.154	266.0626083	247.2263	1495.403	162.0337	2725.91	2214.1035	240.3487	-514.5996	124062.0464
GUI	Guinea	AFRICA	4.765	1	46688.10164	45.14309	OWWest	Afrotropics	-1055443.092	1323716.925	1830.3448	96.4834	21.8685	256.71445	239.2947	1631.4009	142.8362	5143.85	3087.1934	231.8652	-1253.9552	76688.10164
IVO	Ivory Coast	AFRICA	5.621875	1	65228.50552	49.40569	OWWest	Afrotropics	-536022.0281	969853.0936	1333.6567	67.33	73.3798	262.619625	248.0739	1153.7	189.5189	7555.67	2752.6484	237.5909	-1418.812	65228.50552
KEN	Kenya	AFRICA	6.521428571	1	68885.88154	43.2213	OWWest	Afrotropics	3652765.448	67468.23558	604.4007	84.4218	46.7221	242.1682583	228.0666	1014.967	162.9872	4602.17	581.6641	212.9548	23.0198	68885.88154
LBR	Liberia	AFRICA	3.691666667	1	59232.60849	40.87027	OWWest	Afrotropics	-897973.8281	820589.6343	2687.0125	57.5724	211.3745	255.941175	245.2457	817.5859	188.8711	7418.94	6367.1284	231.0334	-3675.6206	69232.60849
MAU	Mauritius	AFRICA	3.0375	1	48003.33333	40.07345	OWWest	Afrotropics	5553251.863	-2523960.561	1840.3559	51.4411	207.2152	223.2663417	195.709	2137.469	157.8475	14932.6	2400.8918	209.9887	-580.5593	48003.33333
MDG	Madagascar	AFRICA	1.910316092	1	10653.02421	53.23347	OWWest	Afrotropics	4508285.791	-2414750.741	1381.5251	96.401	65.2073	228.6556167	196.8652	2183.6624	127.3934	7974.92	2137.9199	199.2807	-751.6213	1653.024209
MLI	Mali	AFRICA	10.75	1	164914.8658	59.8266	OWWest	Afrotropics	-342278.1856	2168979.32	309.8257	131.4095	0.3756	282.5522083	220.952	4479.521	126.1479	774.717	467.8293	255.6694	-158.0553	164914.8658
MLW	Malawi	AFRICA	6.83	1	100441.8162	52.93691	OWWest	Afrotropics	3309841.723	-1668702.999	1090.4947	105.3088	14.2785	220.4641667	187.115	2241.5664	120.2795	7752.35	1141.2926	181.5048	-50.7126	100441.8162
