Area_code_L3	BodySize	FruitSize	LEVEL_NAME	REGION_NAM	CONTINENT	THREEREALM	REALM_LONG	NEOPALEO	AREA_KM2	LAT	LONG	X_COORD	Y_COORD	PREC_Sum	PREC_CV	P_drie_quart	Tmean_mean	T_cold_quart	Temp_SD	Tmin_cold_month	NPP_mean	NPP_median	ensLGM_Pmean	ensLGM_Tmean	Soil
DJI	2108525.9	3.1	Djibouti	Northeast Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	21434.63832	11.7498128	42.5779403	4108159.536	1488623.804	172.2284	55.4232	22.456	280.4073917	235.2235	3628.8394	187.4578	1389.02	1254	241.0686	247.328	38.3168
DOM	22763.39167	1.854090909	Dominican Republic	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	48417.93675	18.89309386	-70.48543447	-6800853.492	2367679.913	1366.5316	43.5999	168.8491	239.827725	221.412	1277.7266	162.1447	11308.8	11200	880.1769	215.7032	39.42471
EAI	877535.7174	1.5	East Aegean Is.	Western Asia	ASIA-TEMPERATE	OWWest	Palearctic	Old World	6556.399168	37.83826138	26.67222629	2574834.75	4487545.212	706.7085	86.0629	16.3874	166.8277	97.0912	5824.8198	61.0273	5745.18	5001	605.4345	134.2474	41.89034
ECU	572222.9	2.224701493	Ecuador	Western South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	247905.7816	-1.452912352	-78.39320786	-7563839.236	-185152.2991	2040.7311	49.4803	308.4297	208.5377667	201.2064	529.4907	152.1799	9982.81	9925	1805.6804	191.2352	42.40308
EGY	1132653.321	5.25	Egypt	Northern Africa	AFRICA	OWWest	Palearctic	Old World	941750.058	26.29498851	29.63061336	2860446.402	3230301.643	12.5036	43.0055	0.0218	221.690175	140.2079	5878.7417	57.4515	4635.52	5220	44.4515	197.8508	41.70087
EHM	858275.505	2.262068966	East Himalaya	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	132663.5477	27.77772472	92.89621011	8962388.071	3409075.729	1755.7704	93.8096	34.7641	128.5977083	60.9972	4875.5405	-19.3451	8721.46	9002	1742.0588	98.9844	44.83478
ELS	1788770.378	2.220769231	El Salvador	Central America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	20584.89822	13.73614532	-88.86560674	-8574279.162	1736003.49	1839.6918	92.0335	13.7531	243.509625	233.8568	823.526	165.837	11194.6	10353	1813.9515	224.7998	35.73594
EQG	823701.58	2.75	Equatorial Guinea	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	24894.49705	1.567924247	10.47599925	1010789.527	199990.807	2211.0601	57.3405	177.7561	232.2347833	221.1411	757.8147	177.4492	10155.1	10110	2162.748	209.2617	48.77148
ERI	1890438.25	3.95	Eritrea	Northeast Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	121035.603	15.35884102	38.85292555	3749294.395	1935430.219	354.3161	94.1755	19.8283	261.6556167	230.1741	2410.2207	158.0974	1888.06	1605	295.7959	218.097	47.20499
ETH	1007867.3	6.58	Ethiopia	Northeast Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	1127530.93	8.626139271	39.61601894	3822845.317	1092749.337	795.2946	92.4321	32.8184	227.1784083	211.7769	1252.647	133.5608	5566.99	5297	755.6603	194.0853	38.1735
FIJ	250.5	2.513043478	Fiji	Southwestern Pacific	PACIFIC	OWEast	Oceania	Old World	19318.74844	-17.46392922	160.792175	15514595.52	-2193979.881	2567.4195	41.1563	343.2778	241.1942	224.4021	1241.9196	195.4105	15167.7	15704	2923.968	225.0443	35.5237
FLA	1056416.629	1.391538462	Florida	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	146581.8379	28.65142195	-82.48405094	-7956616.186	3504145.439	1348.5449	43.8293	195.3804	213.0033667	147.6327	4840.4814	77.629	9708.75	8934	1165.4214	153.6807	53.06111
FRA	1186670.033	2.23	France	Southwestern Europe	EUROPE	OWWest	Palearctic	Old World	539593.4636	46.63235254	2.4497693	236770.1471	5315961.866	816.9275	15.8959	168.6126	104.4435583	33.1214	5546.5928	-4.1468	6819.79	6415	913.9269	49.2041	41.28527
FRG	650764.37	3.036935484	French Guiana	Northern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	83625.42709	3.924388201	-53.24126696	-5137050.546	500088.7259	2696.7326	45.7286	260.0917	253.9722417	247.2973	508.8979	203.8441	9736.19	9656	2362.7993	223.4387	40.9882
GAB	956701.58	3.355769231	Gabon	West-Central Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	260691.6698	-0.590677968	11.79715762	1138269.165	-75292.49016	1853.7448	64.3638	58.1333	244.9649083	229.1587	1014.0851	180.9413	10765.4	11203	1581.1606	222.8628	47.14952
GAM	1169696.075	5.608333333	"Gambia, The"	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	10715.59853	13.4529444	-15.3856196	-1484515.656	1700904.366	798.0483	136.865	0.0008	272.1166	246.7194	1853.0884	149.7875	1880.15	1907	1055.5454	244.8664	51.3375
GEO	868368.1545	1.716666667	Georgia	Southeastern U.S.A.	NORTHERN AMERICA	NewWorld	Nearctic	New World	152470.2145	32.65409017	-83.4466779	-8050969.866	3946500.29	1283.275	21.5144	236.5005	174.3038083	84.5605	6735.4653	12.0006	7503.57	7016	1422.2817	58.3039	45.30209
GGI	669634.65	4.916666667	Gulf of Guinea Is.	West-Central Tropical Africa	AFRICA	OWEast	Afrotropics	Old World	3193.331028	2.369331633	7.97621565	769517.011	301930.9089	2435.9354	57.0881	140.9997	217.0715167	206.4531	732.3149	170.6724	13745.6	14747	2422.1001	199.0319	35.03385
GHA	703450.6143	5.011111111	Ghana	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	239032.7567	7.959643822	-1.207046189	-116471.2668	1010982.69	1246.2762	69.1825	60.2673	269.3486333	252.5171	1307.3276	199.9388	6648.68	6298	2083.0042	244.4784	51.85224
GNB	1169696.075	6.425	Guinea-Bissau	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	33969.03025	12.0161983	-14.98748401	-1446104.068	1521918.431	1687.2327	127.1105	0.154	266.0626083	247.2263	1495.403	162.0337	2725.91	2231	2214.1035	240.3487	47.08287
GST	800354.0333	7	Gulf States	Arabian Peninsula	ASIA-TEMPERATE	OWEast	Palearctic	Old World	82412.41628	24.12052069	53.87450825	5198249.602	2988246.968	74.1131	123.9848	0.2603	270.2638167	194.7596	5505.6187	131.8194	213.248	9	117.7292	229.7168	48.82223
GUA	1613116.71	1.484477612	Guatemala	Central America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	108992.6391	15.7023026	-90.3569493	-8718323.129	1977858.307	1996.5117	67.7846	128.6212	229.1275667	210.1463	1312.9368	154.2216	12202.5	11977	2137.1658	209.1328	37.2077
GUI	616488.65	4.765	Guinea	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	245063.0045	10.43854094	-10.94182542	-1055443.092	1323716.925	1830.3448	96.4834	21.8685	256.71445	239.2947	1631.4009	142.8362	5143.85	4855	3087.1934	231.8652	45.14309
GUY	650764.37	2.760178571	Guyana	Northern South America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	210679.9804	4.792378272	-58.97416349	-5690099.656	609785.8255	2030.7166	51.3412	254.5915	260.0233917	253.3295	568.0574	210.4887	10830.4	11184	1816.1357	232.3088	42.925
HAI	22763.39167	2.025384615	Haiti	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	27260.74823	18.93894782	-72.68381472	-7013058.539	2373148.717	1529.7696	52.3305	143.2013	238.9592917	222.0015	1172.286	160.8903	11527.4	10382	930.8151	215.3994	40.54069
HON	1613116.71	1.746229508	Honduras	Central America	SOUTHERN AMERICA	NewWorld	Neotropics	New World	112161.8289	14.81591848	-86.62017081	-8357768.672	1869330.081	1726.6816	59.648	128.3273	235.8470667	216.2655	1349.1674	162.0059	12226	12468	1628.6285	216.7065	39.88749
IND	459020.2158	2.55	India	Indian Subcontinent	ASIA-TROPICAL	OWEast	IndoMalay	Old World	2668994.314	21.72683329	78.38336127	7563260.31	2678426.611	1014.1923	121.7629	17.3357	259.4600917	199.604	4360.5381	119.3868	3889.88	3610	1027.95	235.4677	36.90941
IRN	848812.6846	7	Iran	Western Asia	ASIA-TEMPERATE	OWEast	Palearctic	Old World	1623443.823	32.56479959	54.30141376	5247152.095	3918696.561	212.1381	85.2813	5.9265	169.4155667	62.2093	8167.2915	-10.0503	1374.44	1056	244.7	127.7438	43.03589
IRQ	725272.7	7	Iraq	Western Asia	ASIA-TEMPERATE	OWEast	Palearctic	Old World	436281.1837	33.04800654	43.77224552	4224827.942	3984108.654	206.2619	87.5482	0.1036	214.493725	99.1296	8771.1943	32.746	776.033	579	243.8748	180.2421	37.92863
ITA	904700.9095	2.23	Italy	Southeastern Europe	EUROPE	OWWest	Palearctic	Old World	250764.0596	43.52557285	12.15509504	1179939.316	5033898.654	863.682	28.0568	143.6187	115.0220833	35.3384	6339.3569	-3.9807	6422.04	6243	934.8621	70.7769	37.57291
IVO	616488.65	5.496875	Ivory Coast	West Tropical Africa	AFRICA	OWWest	Afrotropics	Old World	321362.0158	7.631725302	-5.555499924	-536022.0281	969853.0936	1333.6567	67.33	73.3798	262.619625	248.0739	1153.7	189.5189	7555.67	7097	2752.6484	237.5909	49.40569
JAM	1855.7	1.853	Jamaica	Caribbean	SOUTHERN AMERICA	NewWorld	Neotropics	New World	11038.41965	18.15133064	-77.31975081	-7460274.47	2278040.632	1848.2108	47.6011	217.8139	238.8567333	225.0001	991.414	186.4057	13789.4	13944	1306.4054	213.5976	37.21918
