LEVEL_3_CO,ID,LEVEL_NAME,REGION_NAM,CONTINENT,THREEREALM,REALM_LONG,NEOPALEO,AREA_M2,AREA_KM2,PERIMETER,LAT,LONG,X_COORD,Y_COORD,ISISLAND,PALMSR,PalmPresAbs,srtm_alt_mean,srtm_alt_median,srtm_alt_min,srtm_alt_max,alt_min0,alt_range,soilcount,PREC_Sum,PREC_CV,P_drie_quart,Tmean_mean,T_cold_quart,Temp_SD,Tmin_cold_month,GPP_mean,GPP_median,GPP_min,GPP_max,GPP_range,GPP_SD,NPP_mean,NPP_median,NPP_min,NPP_max,NPP_range,NPP_SD,GeologicalOrigin,Geology_3categ,DistToCont_m,DistToCont_km,NearestMainland,ensLGM_Pmean,ensLGM_Tmean,ensLGM_Pano,ensLGM_Tano,ccLGM_Tmean,ccLGM_Pmean,miLGM_Tmean,miLGM_Pmean,ccAnoTmean,ccAnoTmedian,miAnoTmean,miAnoTmedian,ccAnoPmean,ccAnoPmedian,miAnoPmean,miAnoPmedian,PLIO_PREC_30s,PLIO_TEMP_30s,PLIO_P_ANOM,PLIO_T_ANOM,Plio_Wmm_mean,Plio_Cmm_mean,Mio_Prec_Mean,Mio_Temp_Mean,VelocityMean,VelocityMedian,VelocityMeanLog,CH_Extent,CH_Mean,CH_Range,CH_CV,CH_Min,CH_Max,CH_Median,CH_SD,CH_Majority,CH_Sum,CH_Variety,CH_PercCover,CH_PercQuart4
MXS,210,Mexico Southwest,Mexico,NORTHERN AMERICA,NewWorld,Neotropics,New World,3.29132E+11,329131.7062,5253943.413,18.84795312,-100.7023886,-9713666.775,2359019.498,0,45,1,1174.6174,1196,-105,3998,0,3998,11,1156.298,103.3758,28.7025,216.5457,191.8965,1778.2451,107.977,16863.7,16484,0,41323,41323,7158.28,9164.69,8556,321,21002,20681,2984.33,mainland,mainland,,,,1223.6971,192.8345,-68.3702,23.8879,189.8521,1457.6531,196.2816,990.3301,26.8702,28,20.4743,21,-302.7706,-316,165.2705,40,1886.72,272.99,-730.564,-56.3635,30.3979,20.2671,2.30647,25.3511,4.777736856,3.240956306,0.539447113,1,20.8141,51,0.222113856,1,52,19,4.6231,19,8557460,51,0.341436212,0.058915907
MXT,211,Mexico Southeast,Mexico,NORTHERN AMERICA,NewWorld,Neotropics,New World,2.36552E+11,236551.8333,3984246.953,18.50798756,-90.55872649,-8739084.772,2318392.843,0,57,1,271.7434,47,-45,3744,0,3744,11,1531.0793,66.2779,112.9689,250.2499333,224.1109,1813.9644,160.1569,24536,27878,0,37935,37935,6818.37,10730.2,10854,57,18836,18779,2691.76,mainland,mainland,,,,1830.5253,225.574,-301.942,24.7698,220.2814,2242.6719,231.3543,1418.7755,30.0662,31,19.0169,19,-715.1163,-668,111.0552,70,1219.57,298.086,314.975,-47.8204,32.9205,24.8221,3.64317,26.7453,1.250693606,0.760670602,-0.045318193,1,16.8255,51,0.517111527,1,52,16,8.70066,19,9359660,50,0.64407178,0.16690923
MYA,212,Myanmar,Indo-China,ASIA-TROPICAL,OWEast,IndoMalay,Old World,6.68128E+11,668127.9372,10630760.9,21.14042303,96.50882808,9312068.924,2622915.891,0,58,1,595.0305,371,-45,5530,0,5530,16,1985.5592,91.4048,28.7145,231.354125,187.0165,2993.9775,106.8633,18545.4,21252,0,39056,39056,7100.83,8403.67,8416,0,18521,18521,3174.93,mainland,mainland,,,,2143.3472,211.2574,-147.2742,20.3386,210.3015,1926.7007,212.71,2360.3171,21.3227,24,18.9167,16,70.314,75,-366.1718,-344,5104.9,237.767,-3114.21,-6.15172,29.2019,16.0938,9.2885,22.5893,6.871577819,7.888828754,0.689873265,1,27.0695,44,0.195530025,1,45,27,5.2929,27,36380000,45,0.541254032,0.466989928
NAM,213,Namibia,Southern Africa,AFRICA,OWWest,Afrotropics,Old World,8.0465E+11,804650.3954,4366426.21,-22.23554548,17.07189285,1646091.551,-2754871.901,0,2,1,1093.4205,1150,-17,2458,0,2458,11,275.4239,100.9501,2.3247,198.055175,147.4125,3572.4551,55.8004,4040.17,3749,0,12899,12899,2796.47,2748.57,2432,519,6910,6391,1336.42,mainland,mainland,,,,228.7553,173.3291,46.4889,24.7483,175.2345,208.5701,171.9298,249.4608,22.8412,24,26.1531,26,66.6914,58,25.8062,25,1331.79,248.451,-1057.04,-50.3644,28.3269,16.7525,1.54502,22.6405,1.977427153,1.363703251,0.145161566,1,1,0,0,1,1,1,0,1,90,1,2.98827E-05,
NAT,214,KwaZulu-Natal,Southern Africa,AFRICA,OWWest,Afrotropics,Old World,92726626553,92726.62655,1820401.013,-28.7085677,30.72508497,2965037.449,-3513204.598,0,4,1,868.0361,940,-20,3305,0,3305,17,867.6586,59.9611,61.4658,178.4941583,134.8195,3098.8445,55.5363,14631,13724,0,36338,36338,5032.85,8966.18,8671,941,20359,19418,2416.31,mainland,mainland,,,,812.6058,154.0878,55.0893,24.4665,162.2951,872.8821,146.366,752.9686,16.2565,16,32.2003,32,-5.1018,-15,114.7842,109,2931.82,171.812,-2064.16,6.73127,21.191,9.273,2.954,18.103,6.133492932,5.537960529,0.697758991,1,17.8326,46,0.314446575,1,47,18,5.6074,15,854966,37,0.131242318,0.0243383
NBR,215,New Brunswick,Eastern Canada,NORTHERN AMERICA,NewWorld,Nearctic,New World,72842163517,72842.16352,1837945.811,46.63101173,-66.37001739,-6403533.459,5324662.914,0,0,0,181.9271,144,-4,769,0,769,4,1104.4422,12.1859,238.5495,40.68175,-92.9205,9981.5039,-158.9731,9605.95,9868,0,15213,15213,1846.41,4749.59,4810,470,8301,7831,556.063,mainland,mainland,,,,346.906,-187.7831,757.5975,228.5314,-143.0589,358.9203,-232.027,335.4087,183.796,176,272.7956,272,745.6505,742,768.9554,773,3318.99,81.6882,-2216.49,-40.8523,20.21,-5.615,2.94567,9.81933,2.425751766,1.658308327,0.26921469,1,13.248,62,0.251239432,1,63,13,3.32842,13,4367100,62,0.902980598,0.005519625
NCA,216,North Carolina,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.28191E+11,128191.2251,3682415.444,35.54958921,-79.38015679,-7659056.213,4255492.528,0,3,1,235.8673,109,-12,1961,0,1961,4,1260.7374,16.4008,261.5486,147.6240083,49.9967,7353.8193,-20.0856,14666.3,14929,0,32214,32214,4607.95,7427.27,7060,923,18344,17421,1822.93,mainland,mainland,,,,1439.8611,13.1543,-179.5788,134.8675,-35.3109,1250.6493,62.0855,1629.5745,183.4544,191,85.8641,87,10.1967,15,-370.5468,-399,3213.28,169.482,-1951.74,-21.5437,27.5769,3.84312,3.81557,19.3106,43.18309493,37.88559723,1.592376523,1,21.9123,59,0.270854725,4,63,21,5.93505,19,4798810,41,0.402781941,0.156238218
NCB,217,Nicobar Is.,Indo-China,ASIA-TROPICAL,OWEast,IndoMalay,Old World,1865705461,1865.705461,490978.2335,7.507217236,93.60165739,9031318.842,954859.1428,1,17,1,81.8647,59,-15,520,0,520,3,2350.166,39.4886,246.5205,270.1078417,263.3745,506.0182,239.7111,24975.1,33871,0,38800,38800,14608.9,15114.3,16921,1156,18374,17218,3854.43,continental,continental,421414.0758,421.4140758,THA,2719.2676,256.7957,-356.2184,13.9706,261.5084,4251.3521,252.4618,1188.0482,9.1455,9,18.1983,18,-1876.5789,-1783,1163.5485,1143,7860.03,306.275,-5523.55,-36.2647,0,0,0,0,33.85902912,36.74697113,1.475784148,1,14.2754,5,0.17441823,12,17,12,2.48989,12,2384,2,0.025652842,
NCS,218,North Caucasus,Caucasus,ASIA-TEMPERATE,OWEast,Palearctic,Old World,2.53443E+11,253443.2792,3679597.724,44.34379821,42.86220016,4139422.417,5116967.129,0,0,0,550.4255,186,-36,5488,0,5488,16,610.699,33.2069,97.0224,91.29495833,-20.2561,8669.2207,-66.9255,7462.25,7275,0,23583,23583,3534.18,4375.45,4196,0,13628,13628,1735.78,mainland,mainland,,,,475.752,25.6859,135.2156,65.7865,16.3224,612.4232,35.5349,339.5317,75.1662,74,55.9274,56,-1.413,0,271.228,277,1827.35,141.477,-1216.66,-50.0691,25.9793,4.81857,1.44765,19.2724,1.54944104,1.854397535,0.164259541,1,25.4969,58,0.235294095,1,59,25,5.99927,22,4284220,47,0.137683546,0.095790724
NDA,219,North Dakota,North-Central U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.82558E+11,182557.9662,1931064.071,47.44750074,-100.4594152,-9692797.625,5395710.506,0,0,0,553.9338,559,234,1045,234,811,6,437.5124,63.4143,34.6021,46.126625,-115.7763,11951.4902,-194.6687,5882.89,6062,0,13113,13113,1328.53,3491.74,3544,311,7608,7297,637.239,mainland,mainland,,,,178.3306,-189.5129,259.1749,235.6736,-160.5904,130.8465,-217.9487,226.3132,206.7495,207,264.1127,264,306.6572,305,211.1963,206,2150.87,85.8319,-1713.36,-39.6547,22.8562,-5.87857,1.63391,14.3815,14.12550041,13.10247326,0.903607433,1,,,,,,,,,,,,
