LEVEL_3_CO,ID,LEVEL_NAME,REGION_NAM,CONTINENT,THREEREALM,REALM_LONG,NEOPALEO,AREA_M2,AREA_KM2,PERIMETER,LAT,LONG,X_COORD,Y_COORD,ISISLAND,PALMSR,PalmPresAbs,srtm_alt_mean,srtm_alt_median,srtm_alt_min,srtm_alt_max,alt_min0,alt_range,soilcount,PREC_Sum,PREC_CV,P_drie_quart,Tmean_mean,T_cold_quart,Temp_SD,Tmin_cold_month,GPP_mean,GPP_median,GPP_min,GPP_max,GPP_range,GPP_SD,NPP_mean,NPP_median,NPP_min,NPP_max,NPP_range,NPP_SD,GeologicalOrigin,Geology_3categ,DistToCont_m,DistToCont_km,NearestMainland,ensLGM_Pmean,ensLGM_Tmean,ensLGM_Pano,ensLGM_Tano,ccLGM_Tmean,ccLGM_Pmean,miLGM_Tmean,miLGM_Pmean,ccAnoTmean,ccAnoTmedian,miAnoTmean,miAnoTmedian,ccAnoPmean,ccAnoPmedian,miAnoPmean,miAnoPmedian,PLIO_PREC_30s,PLIO_TEMP_30s,PLIO_P_ANOM,PLIO_T_ANOM,Plio_Wmm_mean,Plio_Cmm_mean,Mio_Prec_Mean,Mio_Temp_Mean,VelocityMean,VelocityMedian,VelocityMeanLog,CH_Extent,CH_Mean,CH_Range,CH_CV,CH_Min,CH_Max,CH_Median,CH_SD,CH_Majority,CH_Sum,CH_Variety,CH_PercCover,CH_PercQuart4
CRZ,83,Crozet Is.,Subantarctic Islands,ANTARCTIC,OWEast,Antarctica,Old World,353559883.4,353.5598834,129778.6615,-46.34320596,51.618507,4980324.385,-5300623.143,1,0,0,312.3757,278,-2,892,0,892,1,2404.9496,14.2075,489.557,44.43426667,24.8505,1707.157,4.7028,4825.15,2712,0,19624,19624,5407.9,5649.43,5541,692,13483,12791,3477.89,volcanic,volcanic,2441121.022,2441.121022,CPP,2083.2041,14.2041,318.0262,30.8636,3.5667,2112.697,24.0188,2061.9734,40.6972,41,23.2804,22,294.714,292,325.8783,313,3817.11,79.03,-1414.16,-34.2692,0,0,0,0,2.530284166,2.530284166,0.403169298,1,,,,,,,,,,,,
CTA,84,Chita,Siberia,ASIA-TEMPERATE,OWEast,Palearctic,Old World,4.31835E+11,431834.6645,4934706.25,52.84069172,116.2008234,11201636.6,5828458.914,0,0,0,958.7187,900,292,2824,292,2532,17,408.7998,104.2803,13.1944,-53.367175,-269.6747,16029.7725,-359.6472,6055.14,6525,0,11321,11321,2048.65,3289.38,3643,107,7057,6950,941.226,mainland,mainland,,,,282.2003,-108.8339,126.6029,55.5042,-105.0113,277.8864,-112.1634,287.0144,51.678,53,58.8159,61,130.915,123,121.8472,122,2142.71,-7.42444,-1733.92,-45.889,18.6491,-20.6843,2.51329,-1.20866,1.032559087,0.899065912,-0.034601596,1,12.5002,55,0.270299675,1,56,12,3.3788,12,16755300,40,0.545190536,0.001793304
CTM,85,Chatham Is.,New Zealand,AUSTRALASIA,OWEast,Oceania,Old World,705433048.9,705.4330489,250080.4151,-43.95964026,-176.5029861,-17030146.3,-5084714.718,1,1,1,93.9545,63,-1,285,0,285,1,938.4941,22.6794,184.91,112.0514167,81.1312,2469.9546,49.1101,19762.6,25473,0,29434,29434,10164.8,16270.5,18389,1720,19399,17679,3849.18,continental,continental,3170227.281,3170.227281,NSW,693.9219,96.6843,240.5524,15.8794,102.5761,798.2108,90.7705,592.3271,9.8794,10,21.9922,22,137.236,137,341.7049,340,4195.61,156.954,-3274.82,-45.3864,0,0,0,0,3.87933766,3.550912738,0.546699969,1,,,,,,,,,,,,
CUB,86,Cuba,Caribbean,SOUTHERN AMERICA,NewWorld,Neotropics,New World,1.09976E+11,109976.4105,4453661.788,21.62013286,-79.0352374,-7624461.358,2693739.889,1,85,1,101.15,52,-10,1748,0,1748,9,1331.4251,59.5545,109.3175,250.2716833,223.487,1886.2981,167.0317,18994.4,16750,0,42178,42178,7823.38,9574.96,8588,799,21616,20817,3062.94,continental,continental,158159.6334,158.1596334,FLA,1063.1346,227.2442,267.2064,23.1709,233.7406,1049.4823,221.1967,1077.4087,16.6624,17,29.1918,29,281.6098,324,252.2466,237,2342.57,293.509,-1007.39,-43.2022,32.0133,24.61,4.92971,29.4783,2.050239153,1.799201071,0.233873377,1,24.0513,51,0.320200987,1,52,25,7.70125,26,1721640,47,0.174888407,0.105741252
CVI,87,Cape Verde,Macaronesia,AFRICA,OWEast,Afrotropics,Old World,3525222596,3525.222596,577256.2536,15.98732287,-24.10306511,-2325434.666,2013206.708,1,1,1,387.7881,227,-11,2517,0,2517,2,258.644,152.1563,0.2153,215.9931417,196.1653,1586.9688,164.2657,4685.89,3877,0,25034,25034,4884.72,4602.84,4121,1094,15268,14174,2311.89,volcanic,volcanic,521495.6324,521.4956324,SEN,282.9867,189.283,-28.3245,27.4384,197.615,195.4444,180.4046,372.7061,18.6879,19,36.0299,37,60.968,60,-119.6561,-75,201.454,266.375,56.2731,-50.2415,0,0,0.814,26.107,5.509874728,5.606873035,0.636197803,1,,,,,,,,,,,,
CYP,88,Cyprus,Western Asia,ASIA-TEMPERATE,OWEast,Palearctic,Old World,9258199073,9258.199073,624617.6878,35.04299175,33.21863708,3205069.827,4203097.954,1,0,0,302.2661,207,-5,1879,0,1879,5,515.8707,91.951,8.8682,178.0951917,105.4114,5903.7197,53.8083,6996.04,6750,0,24435,24435,2718.75,4042.76,3794,637,13748,13111,1298.71,continental,continental,66690.57583,66.69057583,TUR,442.392,151.3152,73.0755,27.1033,150.5418,321.4337,152.4963,563.7525,27.8177,28,25.8555,26,194.1042,164,-47.1828,-42,927.82,226.25,-412.902,-48.076,0,0,0,0,0.882558388,0.397219092,-0.303221941,1,24.0117,7,0.042478042,21,28,24,1.01997,24,53402,5,0.057012484,0.052449435
CZE,89,Czechoslovakia,Middle Europe,EUROPE,OWWest,Palearctic,Old World,1.27688E+11,127688.043,2646153.821,49.35118113,16.90969528,1633535.257,5558820.56,0,0,0,450.807,428,51,2398,51,2347,14,694.5782,34.9093,112.2921,74.67560833,-20.6905,7176.9775,-62.5604,9645.19,9663,0,17107,17107,2506.31,5576.27,5522,581,10165,9584,723.663,mainland,mainland,,,,641.5225,-10.4441,53.0607,85.1544,-45.201,686.0414,24.8075,597.4012,119.9121,119,49.8886,49,8.5023,1,97.2683,90,2582.65,115.871,-1888.04,-41.1465,21.1286,3.705,2.929,14.0913,2.367955689,1.814581275,0.235193404,1,23.2886,58,0.22950757,1,59,24,5.34491,25,6774840,45,0.431507967,0.269120662
DEL,90,Delaware,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,5069507497,5069.507497,405948.0989,38.99814067,-75.51281006,-7285904.088,4607607.17,0,0,0,17.0212,14,-4,136,0,136,1,1094.3181,11.5979,246.9675,126.8186833,18.5979,8257.5244,-40.4212,10611,11279,0,25990,25990,4484.64,6503.08,6289,2313,15468,13155,1225.8,mainland,mainland,,,,1152.4203,-43.757,-58.6545,170.5569,-69.0195,917.7149,-18.0264,1387.4376,195.8229,194,144.772,142,176.0442,167,-294.092,-300,2903.54,174.764,-1809.73,-48.0485,27.69,9.6,3.083,15.938,8.615793299,7.441331863,0.85600379,1,18.0871,14,0.25168822,12,26,19,4.55231,19,21795,8,0.053557936,0.013867283
DEN,91,Denmark,Northern Europe,EUROPE,OWWest,Palearctic,Old World,42960537336,42960.53734,4180819.704,55.9623328,10.05082082,970483.2942,6074316.926,0,0,0,31.0848,27,-8,164,0,164,8,709.29,23.1872,122.7201,77.506875,3.8444,5936.085,-35.5663,8672.27,8848,0,20681,20681,2943.15,5524.66,5214,405,13743,13338,1095.31,mainland,mainland,,,,767.5785,-128.473,-60.2371,206.2966,-161.2293,770.6467,-95.2334,765.1124,239.1073,243,173.0324,174,-62.6632,-60,-58.5432,-52,3438.31,104.611,-2723.37,-27.2881,16.09,5.82667,2.842,13.168,59.24571228,61.97475052,1.765087374,1,22.4016,57,0.223361724,2,59,23,5.00366,22,459815,34,0.077871527,0.042649893
DJI,92,Djibouti,Northeast Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,21434638321,21434.63832,806928.4069,11.7498128,42.5779403,4108159.536,1488623.804,0,3,1,446.0225,428,-183,1840,0,1840,4,172.2284,55.4232,22.456,280.4073917,235.2235,3628.8394,187.4578,284.034,0,0,12900,12900,946.708,1389.02,1254,685,6232,5547,557.607,mainland,mainland,,,,241.0686,247.328,-69.2467,33.2069,238.6878,140.4155,256.415,342.0222,41.8685,42,24.1722,24,31.4837,30,-170.7901,-153,822.702,293.019,-650.579,-12.5839,32.555,23,2.1,26.464,59.29931599,60.22467613,1.762853248,1,,,,,,,,,,,,
DOM,93,Dominican Republic,Caribbean,SOUTHERN AMERICA,NewWorld,Neotropics,New World,48417936749,48417.93675,1438436.729,18.89309386,-70.48543447,-6800853.492,2367679.913,1,22,1,397.8102,191,-44,2967,0,2967,7,1366.5316,43.5999,168.8491,239.827725,221.412,1277.7266,162.1447,22361.6,21487,0,40546,40546,7942.15,11308.8,11200,997,21107,20110,3393.81,continental,continental,626006.4173,626.0064173,CLM,880.1769,215.7032,486.4282,24.4116,222.7899,773.2239,209.1015,987.7926,17.358,18,31.0217,31,593.3293,593,379.5154,382,985.874,296.487,382.468,-56.7021,30.5333,27.2933,4.086,29.382,2.174236655,1.749363065,0.243944469,1,19.8836,50,0.419842483,2,52,18,8.34798,18,1207330,43,0.342853271,0.105154092
DSV,94,Desventurados Is.,Southern South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,5996445.16,5.99644516,14611.04055,-26.31148218,-79.96063273,-7715107.178,-3242744.345,1,0,0,169,4,4,334,4,330,1,166,82.5,6,156,128,2378,88,1386.75,0,0,6736,6736,2474.4,3716.5,2808,2808,4625,1817,908.5,volcanic,volcanic,856643.1075,856.6431075,CLN,151.7,151,13.5,7,141.4,140.3,155.1,168,14,6,9.6667,10,26.5,21,-7.3333,-7,234.375,205.375,-68.5,-49,0,0,0,0,2.233594439,1.292785168,0.150454003,1,,,,,,,,,,,,
EAI,95,East Aegean Is.,Western Asia,ASIA-TEMPERATE,OWWest,Palearctic,Old World,6556399168,6556.399168,1364020.858,37.83826138,26.67222629,2574834.75,4487545.212,1,1,1,221.712,170,-11,1407,0,1407,5,706.7085,86.0629,16.3874,166.8277,97.0912,5824.8198,61.0273,8480.27,8764,0,25339,25339,4816.51,5745.18,5001,560,15107,14547,2577.49,continental,continental,5762.465649,5.762465649,TUR,605.4345,134.2474,98.7034,33.7243,133.9266,484.3867,134.8302,728.0286,33.9137,34,33.4452,33,219.6023,179,-23.7472,-20,1177.76,199.838,-472.201,-32.5484,0,0,1.724,24.059,,,,1,21.2557,41,0.142645973,2,43,21,3.03204,21,21447,8,0.035237829,0.008207027
EAS,96,Easter Is.,South-Central Pacific,PACIFIC,NewWorld,Oceania,New World,188941572.8,188.9415728,65641.0686,-27.11728361,-109.315833,-10547460.33,-3334814.242,1,0,0,132.3865,101,-1,467,0,467,1,1147.3107,18.2191,242.2351,200.6497167,177.1713,1982.9363,143.8327,14054.1,14611,0,33815,33815,7686.97,10575.3,10735,1674,20408,18734,3485.57,volcanic,volcanic,3178215.696,3178.215696,PER,1390.6208,183.7509,-244.8088,17.1474,181.1561,1049.8475,185.1561,1736.7732,19.1474,20,16.8122,16,98.4821,96,-594.9607,-597,2211.84,224.964,-1071.29,-24.2398,0,0,3.61,25.093,1.589210596,1.364622831,0.145801197,1,,,,,,,,,,,,
ECU,97,Ecuador,Western South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,2.47906E+11,247905.7816,3192720.445,-1.452912352,-78.39320786,-7563839.236,-185152.2991,0,130,1,1083.2052,385,-21,6169,0,6169,12,2040.7311,49.4803,308.4297,208.5377667,201.2064,529.4907,152.1799,20204.4,23327,0,34548,34548,7912.21,9982.81,9925,0,18405,18405,3772.24,mainland,mainland,,,,1805.6804,191.2352,232.0734,17.4498,194.6292,1901.2611,188.2907,1710.8876,14.0405,14,20.4524,20,136.5642,82,327.7223,283,7367.06,267.496,-5328.8,-58.8749,26.964,25.686,1.98108,25.3324,0.757296741,0.757296741,-0.120733912,1,19.4683,51,0.405276783,1,52,18,7.89005,16,10471800,48,0.625712647,0.199338798
EGY,98,Egypt,Northern Africa,AFRICA,OWWest,Palearctic,Old World,9.4175E+11,941750.058,4891068.489,26.29498851,29.63061336,2860446.402,3230301.643,0,2,1,286.7352,249,-131,1929,0,1929,10,12.5036,43.0055,0.0218,221.690175,140.2079,5878.7417,57.4515,401.723,0,0,31062,31062,2124.45,4635.52,5220,0,17653,17653,2567.17,mainland,mainland,,,,44.4515,197.8508,-31.9135,23.8831,202.4965,30.394,193.6972,58.7078,19.2362,18,28.0379,27,-17.8665,0,-46.1514,-50,44.0169,284.233,-31.4061,-62.5074,35.197,15.8169,0.496137,29.7494,2.597761225,1.372103572,0.117140794,1,,,,,,,,,,,,
EHM,99,East Himalaya,Indian Subcontinent,ASIA-TROPICAL,OWEast,IndoMalay,Old World,1.32664E+11,132663.5477,3284385.137,27.77772472,92.89621011,8962388.071,3409075.729,0,22,1,2284.9653,2114,-6,7332,0,7332,13,1755.7704,93.8096,34.7641,128.5977083,60.9972,4875.5405,-19.3451,14100.4,14751,0,28003,28003,7689.31,8721.46,9002,0,15924,15924,4111.04,mainland,mainland,,,,1742.0588,98.9844,13.3514,29.7256,111.4357,1579.7886,87.031,1904.198,17.2625,18,41.8009,42,174.9145,125,-145.2947,-43,4217.15,132.771,-2459.54,-3.88155,21.045,4.182,3.66075,12.4831,6.063094122,6.187015057,0.740510937,1,39.0494,36,0.106075381,11,47,40,4.14218,41,13301000,32,0.657353103,0.653269493
ELS,100,El Salvador,Central America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,20584898220,20584.89822,801088.8701,13.73614532,-88.86560674,-8574279.162,1736003.49,0,12,1,437.458,388,-6,2309,0,2309,4,1839.6918,92.0335,13.7531,243.509625,233.8568,823.526,165.837,22813.8,21263,0,39934,39934,6705.68,11194.6,10353,1183,19904,18721,2775.37,mainland,mainland,,,,1813.9515,224.7998,25.338,18.8177,226.1612,2285.1606,223.8214,1345.2124,17.4111,18,19.709,20,-444.8587,-457,495.481,486,531.718,310.199,1307.03,-66.586,31.92,29.21,4.49,22.802,0.759474865,0.431185395,-0.282423931,1,23.4014,41,0.288257967,3,44,23,6.74564,23,250325,27,0.145759525,0.090805036
EQG,101,Equatorial Guinea,West-Central Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,24894497052,24894.49705,706298.6372,1.567924247,10.47599925,1010789.527,199990.807,0,15,1,478.2166,578,-1,1212,0,1212,4,2211.0601,57.3405,177.7561,232.2347833,221.1411,757.8147,177.4492,22436.4,23029,0,28063,28063,3132.8,10155.1,10110,1169,12966,11797,1102.35,mainland,mainland,,,,2162.748,209.2617,49.7579,23.0988,209.7331,2274.7207,209.2416,2051.2173,22.6112,23,23.0691,23,-62.5323,-64,162.0799,181,8044.91,276.236,-5827.31,-43.8678,27.31,25.93,5.382,25.438,1.151635019,0.878990352,-0.011658011,1,20.609,33,0.171327575,3,36,21,3.53089,21,1688190,30,0.949684076,0.258002435
ERI,102,Eritrea,Northeast Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,1.21036E+11,121035.603,2870910.682,15.35884102,38.85292555,3749294.395,1935430.219,0,2,1,770.1595,663,-120,2955,0,2955,13,354.3161,94.1755,19.8283,261.6556167,230.1741,2410.2207,158.0974,2144.1,2066,0,18915,18915,2312.65,1888.06,1605,17,8781,8764,1010.72,mainland,mainland,,,,295.7959,218.097,57.6219,43.8736,204.6938,240.265,232.0304,351.6384,57.3265,59,29.9212,30,113.1352,95,1.3701,41,689.929,295.641,-336.79,-33.8995,33.046,23.716,3.999,23.8423,4.569938772,4.040097713,0.604004531,1,,,,,,,,,,,,
ETH,103,Ethiopia,Northeast Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,1.12753E+12,1127530.93,5142808.709,8.626139271,39.61601894,3822845.317,1092749.337,0,5,1,1258.1199,1149,-202,4459,0,4459,19,795.2946,92.4321,32.8184,227.1784083,211.7769,1252.647,133.5608,9343.88,8870,0,34229,34229,6611.45,5566.99,5297,23,20618,20595,3595.57,mainland,mainland,,,,755.6603,194.0853,39.6157,33.1354,186.4767,482.5069,202.1922,1029.3933,40.7429,40,25.0251,25,312.7999,164,-234.081,-197,2453.44,240.361,-1658.18,-13.1388,25.3515,21.089,3.08185,22.7465,3.871410087,2.599690318,0.448785157,1,15.7477,37,0.329260781,1,38,17,5.1851,18,2700690,36,0.043358599,0.002429121
FAL,104,Falkland Is.,Subantarctic Islands,ANTARCTIC,NewWorld,Antarctica,New World,11751170270,11751.17027,1951062.411,-51.7398244,-59.37234604,-5728493.395,-5755097.177,1,0,0,79.0439,47,-2,698,0,698,1,546.5845,19.7006,102.9661,56.74181667,23.0894,2625.0291,-5.3144,9022.17,8676,0,22457,22457,4487.54,6994.24,6403,834,15787,14953,2688.6,continental,continental,328448.7249,328.4487249,AGS,375.0396,32.3319,170.957,24.6161,23.0248,292.775,42.079,457.8698,33.8586,34,14.9036,15,253.2709,256,88.0958,87,2392.31,78.1342,-1846.5,-21.3044,10.08,5.67,1.549,11.728,3.234592426,2.182274461,0.365912273,1,,,,,,,,,,,,
FIJ,105,Fiji,Southwestern Pacific,PACIFIC,OWEast,Oceania,Old World,19318748435,19318.74844,2194439.926,-17.46392922,160.792175,15514595.52,-2193979.881,1,23,1,220.2131,156,-16,1197,0,1197,3,2567.4195,41.1563,343.2778,241.1942,224.4021,1241.9196,195.4105,29495.8,32901,0,40035,40035,9333.51,15167.7,15704,983,20498,19515,3032.62,mixed,continental,2446986.166,2446.986166,QLD,2923.968,225.0443,-384.244,17.0466,228.5677,3181.8894,222.0251,2668.3196,13.4791,14,20.1503,21,-644.0673,-686,-125.5595,-120,4133.01,277.9,-1567.54,-36.7727,29.26,25.61,11.575,29.373,3.707598003,3.222757697,0.521394531,1,,,,,,,,,,,,
FIN,106,Finland,Northern Europe,EUROPE,OWWest,Palearctic,Old World,3.3593E+11,335930.0361,6507400.016,64.49433129,26.2588423,2529762.225,6599497.531,0,0,0,165.3728,145,-11,1299,0,1299,8,560.8112,32.6069,88.2479,12.73843333,-103.3881,9164.7988,-153.1727,6394.53,6862,0,14318,14318,2754.72,3725.52,3831,77,8630,8553,1196.69,mainland,mainland,,,,261.0756,-183.3798,299.9513,195.9287,-193.5436,242.7181,-172.7126,279.9274,206.0093,190,185.3017,176,318.229,335,281.2079,309,2350.69,23.621,-1790.55,-10.6247,14.232,-10.0875,2.74754,4.98871,1.060890658,0.991895437,-0.003555765,1,19.6125,65,0.260580242,1,66,19,5.11063,19,35983800,53,0.68527697,0.148110646
FLA,107,Florida,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.46582E+11,146581.8379,4673101.555,28.65142195,-82.48405094,-7956616.186,3504145.439,0,12,1,23.8511,20,-11,108,0,108,6,1348.5449,43.8293,195.3804,213.0033667,147.6327,4840.4814,77.629,16983.6,16700,0,38626,38626,7726.78,9708.75,8934,850,20375,19525,3043.11,mainland,mainland,,,,1165.4214,153.6807,182.758,59.5193,131.529,1288.7794,176.3193,1042.6422,81.7335,76,36.8186,32,59.5185,89,305.3156,369,3235.44,238.867,-1887.03,-25.7099,30.0594,14.3669,3.335,26.4667,45.54568055,42.09034157,1.607225667,1,20.1819,62,0.339153895,1,63,22,6.84477,24,1369520,35,0.117579076,0.058532232
FOR,108,Føroyar,Northern Europe,EUROPE,OWWest,Palearctic,Old World,1599567274,1599.567274,581361.5698,62.050314,-6.863636018,-662231.9946,6479241.968,1,0,0,173.3818,148,1,882,1,881,1,1456.1417,29.0348,226.2654,56.77678333,25.9563,2791.1099,3.6973,5517.21,6493,0,14036,14036,3716.2,5064.49,5107,549,9202,8653,1514.63,volcanic,volcanic,951801.7696,951.8017696,FRA,1257.6348,-3.8629,184.7961,61.5817,27.1727,1400.5366,-34.6762,1117.225,30.445,31,92.6526,92,40.9519,32,326.3716,327,4437.58,134.144,-2980.63,-77.265,0,0,4.827,16.171,21.87563451,19.46902657,1.306983517,1,27.8267,35,0.262170865,3,38,31,7.29535,31,35646,10,0.109412368,0.100187906
FRA,109,France,Southwestern Europe,EUROPE,OWWest,Palearctic,Old World,5.39593E+11,539593.4636,5933689.493,46.63235254,2.4497693,236770.1471,5315961.866,0,1,1,335.4859,190,-11,3716,0,3716,16,816.9275,15.8959,168.6126,104.4435583,33.1214,5546.5928,-4.1468,11285.2,11048,0,32849,32849,4088.19,6819.79,6415,93,20767,20674,1855.95,mainland,mainland,,,,913.9269,49.2041,-96.9276,55.309,21.7941,855.3474,77.1142,972.9494,82.7168,78,27.3903,26,-38.4088,-8,-155.8371,-144,3087.76,132.299,-2271.21,-27.7599,20.7126,7.06167,2.8591,17.0662,4.592835307,3.803015351,0.615314922,1,21.881,58,0.232539189,1,59,22,5.08819,23,15222700,48,0.257113714,0.124735479
FRG,110,French Guiana,Northern South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,83625427092,83625.42709,1408646.686,3.924388201,-53.24126696,-5137050.546,500088.7259,0,61,1,136.6506,135,-4,819,0,819,5,2696.7326,45.7286,260.0917,253.9722417,247.2973,508.8979,203.8441,24230.5,24182,0,38731,38731,2834.75,9736.19,9656,618,19233,18615,1313.91,mainland,mainland,,,,2362.7993,223.4387,334.1948,30.5993,225.2533,2250.5671,222.1083,2475.6458,28.7881,29,31.9313,32,446.4141,432,221.229,251,964.857,297.68,1732.15,-43.6867,30.3867,28.2583,0.838,31.5955,10.18644166,9.789405823,0.846995275,1,22.8616,51,0.132046751,1,52,23,3.0188,23,6340380,44,0.954636045,0.541489827
GAB,111,Gabon,West-Central Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,2.60692E+11,260691.6698,3694836.689,-0.590677968,11.79715762,1138269.165,-75292.49016,0,25,1,379.8179,433,-41,1011,0,1011,4,1853.7448,64.3638,58.1333,244.9649083,229.1587,1014.0851,180.9413,22502.1,23799,0,32227,32227,5343.97,10765.4,11203,781,16215,15434,1922.97,mainland,mainland,,,,1581.1606,222.8628,274.2082,22.1721,224.3738,1408.5898,221.823,1754.2446,20.6492,21,23.202,24,446.8159,470,101.2356,116,7484.52,278.776,-5624.34,-33.7157,28.485,26.991,4.45707,26.8158,7.940219446,7.96679163,0.875556643,1,20.7917,46,0.179257588,1,47,21,3.72707,22,16993100,44,0.904296881,0.287850674
GAL,112,Galápagos,Western South America,SOUTHERN AMERICA,NewWorld,Neotropics,New World,7940452890,7940.45289,1016628.809,-0.562230836,-90.89331315,-8769958.714,-71721.09064,1,0,0,268.985,149,-24,1685,0,1685,6,689.8335,44.8824,115.4936,225.1621167,206.3519,1558.4728,175.96,8726.35,6236,0,39101,39101,9800.01,8549.84,7107,1022,21791,20769,5165.22,volcanic,volcanic,804895.4687,804.8954687,ECU,820.2384,211.7038,-141.1374,14.0918,213.9781,1049.5496,209.5391,600.0919,11.6591,12,16.2977,16,-368.6916,-333,82.0415,65,2479.11,280.838,-1780.41,-55.6165,0,0,0.388,25.805,4.974966031,4.288506508,0.616496097,1,,,,,,,,,,,,
GAM,113,"Gambia, The",West Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,10715598526,10715.59853,1129129.861,13.4529444,-15.3856196,-1484515.656,1700904.366,0,6,1,23.404,22,-2,58,0,58,4,798.0483,136.865,0.0008,272.1166,246.7194,1853.0884,149.7875,6174.3,6239,0,21803,21803,2318.47,1880.15,1907,0,7252,7252,1111.99,mainland,mainland,,,,1055.5454,244.8664,-256.9008,27.2268,248.0994,820.535,242.1832,1290.5288,24.0256,24,29.8603,31,-21.8281,-25,-492.3894,-474,882.898,312.906,-85.359,-40.9174,32.045,27.33,0,0,0.617739936,0.347373605,-0.404715984,1,4.01763,30,0.808917197,1,31,3,3.24993,3,18690,8,0.121901368,0.00070751
GEO,114,Georgia,Southeastern U.S.A.,NORTHERN AMERICA,NewWorld,Nearctic,New World,1.5247E+11,152470.2145,1856085.849,32.65409017,-83.4466779,-8050969.866,3946500.29,0,3,1,160.0584,113,-35,1452,0,1452,7,1283.275,21.5144,236.5005,174.3038083,84.5605,6735.4653,12.0006,15276.2,15145,0,36374,36374,5368.27,7503.57,7016,939,20258,19319,2354.55,mainland,mainland,,,,1422.2817,58.3039,-139.3359,116.1353,12.5837,1396.4474,104.5181,1448.6945,161.8512,161,69.9326,66,-113.2217,-123,-166.0844,-169,3322.75,190.313,-2039.44,-15.9435,29.465,6.675,3.4475,22.5355,7.373349462,7.394785881,0.857187913,1,20.3581,61,0.245457582,2,63,20,4.99705,18,4639010,41,0.364446655,0.094285184
GER,115,Germany,Middle Europe,EUROPE,OWWest,Palearctic,Old World,3.57575E+11,357575.3045,5589111.768,51.11015396,10.39232967,1001743.983,5695725.556,0,0,0,254.7944,185,-185,2679,0,2679,15,729.1525,20.6383,140.912,83.86086667,1.5214,6373.1387,-31.7282,9723.61,9930,0,21733,21733,3068.7,5782.78,5672,427,13764,13337,916.601,mainland,mainland,,,,727.2146,-27.6985,1.8711,111.4178,-70.4514,779.0035,15.5446,675.9502,154.1799,153,68.0882,60,-49.8463,-50,53.0536,67,3335.93,107.303,-2606.48,-23.4134,18.9625,3.98841,2.89087,14.4926,33.46666516,34.73921013,1.508199967,1,23.7065,58,0.174355978,1,59,24,4.13337,23,17356600,50,0.373759361,0.252036633
GGI,116,Gulf of Guinea Is.,West-Central Tropical Africa,AFRICA,OWEast,Afrotropics,Old World,3193331028,3193.331028,395960.5728,2.369331633,7.97621565,769517.011,301930.9089,1,5,1,543.559,386,-12,2867,0,2867,3,2435.9354,57.0881,140.9997,217.0715167,206.4531,732.3149,170.6724,18569.7,22880,0,36829,36829,14005.1,13745.6,14747,1034,18077,17043,3121.57,volcanic,volcanic,40131.46742,40.13146742,CMN,2422.1001,199.0319,23.1459,20.926,198.5982,1948.8773,198.9233,2899.6855,20.8852,22,21.2041,22,500.6188,582,-455.3643,-438,10023.3,304.53,-7586.43,-87.672,0,0,0,0,25.77491181,16.46968365,1.27421042,1,20.1848,37,0.295717074,4,41,20,5.96899,20,114569,30,0.511858599,0.131391469
GHA,117,Ghana,West Tropical Africa,AFRICA,OWWest,Afrotropics,Old World,2.39033E+11,239032.7567,2603867.967,7.959643822,-1.207046189,-116471.2668,1010982.69,0,19,1,180.1014,162,-20,882,0,882,12,1246.2762,69.1825,60.2673,269.3486333,252.5171,1307.3276,199.9388,14541.2,13057,0,34933,34933,7092.7,6648.68,6298,173,17063,16890,2632.06,mainland,mainland,,,,2083.0042,244.4784,-836.4733,24.9085,235.8487,1362.9124,253.5801,2803.5571,33.5467,34,15.8053,16,-116.8717,-98,-1556.3062,-1468,4599.27,299.979,-3351.97,-30.596,31.9705,27.0233,4.615,27.5486,0.380497903,0.238964096,-0.521038619,1,15.0986,43,0.306968858,1,44,15,4.6348,15,2936370,34,0.232468628,0.011888796
GIL,118,Gilbert Is.,Southwestern Pacific,PACIFIC,OWEast,Oceania,Old World,449262318,449.262318,662721.0951,-0.075033368,174.3214533,16819630.8,-9606.080265,1,0,0,2.9669,3,-3,12,0,12,1,1619.7767,27.9504,291.4959,283.1756167,281.4132,135.6281,254.7934,1831.66,0,0,41497,41497,6056.67,9550.95,9219,1815,21000,19185,4176.84,atoll,atoll,3027176.44,3027.17644,QLD,1689.2581,268.2218,-86.562,15.1488,263.9193,1265.6553,272.6109,2116.365,19.2645,19,10.9608,11,334.0165,423,-548.353,-568,2986.48,295.551,-1369.1,-13.1966,0,0,0,0,5.209191695,5.03969574,0.677831028,1,,,,,,,,,,,,
