"LEVEL_3_CO","meanFruitLength","curr_meanBodySize","presNat_meanBodySize"
"IRN",4.15,6.12900770758769,6.50455639804567
"IRQ",7,7.34479058034154,7.9583789278805
"ITA",1.3,6.61493504364377,6.80121878944894
"IVO",5.57,6.84696047791824,6.99026760621385
"JAM",1.423,3.47269726947826,4.08427127289325
"JAP",3,6.57143000053944,6.59305419748835
"JAW",2.69756756756757,6.29274414276654,6.55197118588407
"JNF",1.65,NA,NA
"KEN",6.23571428571429,6.45341595950031,6.46506686257032
"KER",1.4,NA,NA
"KRI",1.5,7.21369180492995,7.21369180492995
"LAO",2.54132653061225,6.68255502680237,7.01154890965808
"LBR",3.43214285714286,6.82545504713718,6.85033364595942
"LBY",3.65,6.84500358323657,8.30109731888161
"LEE",1.855,3.0526321381621,3.43088738296062
"LOU",1.425,6.45933107990661,6.61072815842894
"LSI",5.25,5.57994158017658,5.57994158017658
"MAU",3.04285714285714,6.12315048793336,5.50907716455641
"MCI",4.5,NA,NA
"MDG",1.95383333333333,6.33829663331705,6.41129880728228
"MLI",10.25,8.04806899700019,8.2546162064314
"MLW",6.43,6.51735852018299,6.53669027373827
"MLY",2.13856020942408,6.32398166248802,6.45199756103618
"MOL",3.2745,5.4503170089873,5.45337996106105
"MOR",1.3,7.06875501476354,8.08304547775263
"MOZ",6.58125,6.30855265401048,6.32559939839141
"MRN",1.125,3.97877245147634,4.32272673234964
"MRQ",17.5,NA,NA
"MSI",1.61666666666667,6.2528414050364,6.44667880288496
"MTN",7,7.5398034744586,8.24761082407536
"MXC",1.1375,4.55773946334849,4.55773946334849
"MXE",1.27083333333333,4.85512429618686,4.93844009818195
"MXG",1.41029411764706,4.57026270343168,4.57026270343168
"MXI",3,NA,NA
"MXN",1.55909090909091,4.72546167594155,4.74128020271948
"MXS",1.41428571428571,4.53403345114492,4.60045613437844
"MXT",1.35196428571429,4.70529155676225,4.70529155676225
"MYA",2.83550724637681,6.56362577350156,6.73936291242946
"NAM",4.2,6.79149020845536,6.83615750522165
"NAT",4.225,6.85769360937152,6.89408982859983
"NCA",0.95,5.48601692686602,5.6721116368062
"NCB",2.28421052631579,5.25874710275041,5.25874710275041
"NEP",2.24090909090909,7.65631662486473,7.77955469003983
"NFK",2.82,NA,NA
"NGA",5.05357142857143,6.79832136557394,7.01431188654205
"NGR",7.41666666666667,8.1827925746975,8.73967270444869
"NIC",1.75661290322581,4.64087634995672,4.64087634995672
"NNS",4.4,6.01706249829685,6.20762044417869
"NSW",1.3625,4.78411870667229,4.70008405281521
"NTA",2.15285714285714,4.90299750855905,4.90721638973521
"NWC",1.67512820512821,5.39815246411232,5.39815246411232
"NWG",2.1614606741573,5.89912518783224,5.91614310129373
"NZN",1.3,2.53369681395743,2.66548907439379
"NZS",1.3,2.53369681395743,2.66548907439379
"OGA",1.975,5.98443993217102,5.98443993217102
"OKL",0.8,5.75045266590841,6.10359050887617
"OMA",3.2,8.17422071476403,8.17422071476403
"PAK",3.2375,6.7673440461793,7.10387950384768
"PAL",6,7.50164024406322,7.93414846561887
"PAN",1.67674796747967,4.84820154122469,4.84820154122469
"PAR",2.13708333333333,5.76208055195369,5.76208055195369
"PER",2.91434108527132,4.98015166617268,4.98015166617268
"PHI",2.10525641025641,5.76305496444214,5.75714604605942
"POR",1.3,7.54558272564155,8.25909659777463
